datum_eerste_toelating,benzine_count,elektriciteit_count,diesel_count,waterstof_count,alcohol_count,lpg_count,cng_count,lng_count
1944-12,25,0,0,0,0,0,0,0
1945-01,17,0,0,0,0,1,0,0
1945-02,49,0,1,0,0,1,0,0
1945-03,6,0,1,0,0,0,0,0
1945-04,10,0,0,0,0,2,0,0
1945-05,11,0,0,0,0,0,0,0
1945-06,439,0,50,0,0,15,0,0
1945-07,10,0,0,0,0,0,0,0
1945-08,5,0,0,0,0,0,0,0
1945-09,6,0,0,0,0,2,0,0
1945-12,2,0,0,0,0,0,0,0
1946-01,6,0,0,0,0,0,0,0
1946-02,74,1,1,0,0,6,0,0
1946-03,2,0,0,0,0,0,0,0
1946-04,1,0,0,0,0,0,0,0
1946-06,508,0,78,0,1,10,0,0
1946-07,13,0,1,0,0,0,0,0
1946-08,3,0,0,0,0,0,0,0
1946-09,20,0,0,0,0,0,0,0
1946-10,5,0,0,0,0,0,0,0
1946-11,4,0,0,0,0,0,0,0
1946-12,7,0,0,0,0,0,0,0
1947-01,17,0,1,0,0,0,0,0
1947-02,124,0,2,0,0,2,0,0
1947-03,4,0,0,0,0,0,0,0
1947-04,9,0,0,0,0,1,0,0
1947-05,6,0,0,0,0,0,0,0
1947-06,812,0,220,0,1,9,0,0
1947-07,31,0,0,0,0,0,0,0
1947-08,5,0,0,0,0,0,0,0
1947-09,22,0,1,0,0,0,0,0
1947-10,7,0,0,0,0,0,0,0
1947-11,4,0,0,0,0,0,0,0
1947-12,8,0,0,0,0,1,0,0
1948-01,19,0,1,0,0,1,0,0
1948-02,152,0,0,0,0,5,0,0
1948-03,10,0,1,0,0,0,0,0
1948-04,7,0,0,0,0,0,0,0
1948-05,5,0,0,0,0,0,0,0
1948-06,1265,1,309,0,1,16,1,1
1948-07,28,0,1,0,0,1,0,0
1948-08,3,0,0,0,0,0,0,0
1948-09,23,0,1,0,0,1,0,0
1948-10,5,0,1,0,0,1,0,0
1948-11,7,0,0,0,0,0,0,0
1948-12,12,0,0,0,0,0,0,0
1949-01,28,0,0,0,0,0,0,0
1949-02,183,0,2,0,0,8,0,0
1949-03,7,0,0,0,0,0,0,0
1949-04,11,0,0,0,0,0,0,0
1949-05,14,0,0,0,0,0,0,0
1949-06,1153,2,393,1,0,20,0,0
1949-07,25,0,2,0,0,2,0,0
1949-08,11,0,0,0,0,1,0,0
1949-09,34,1,2,0,0,1,0,0
1949-10,11,0,0,0,0,0,0,0
1949-11,6,0,0,0,0,0,0,0
1949-12,11,0,0,0,0,1,0,0
1950-01,34,0,0,0,0,1,0,0
1950-02,223,1,4,0,0,16,0,0
1950-03,13,0,0,0,0,1,0,0
1950-04,17,0,0,0,0,0,0,0
1950-05,19,0,0,0,0,0,0,0
1950-06,1377,3,1090,0,1,22,0,0
1950-07,45,0,3,0,0,2,0,0
1950-08,15,0,1,0,0,0,0,0
1950-09,42,0,0,0,0,0,0,0
1950-10,13,0,0,0,0,0,0,0
1950-11,16,0,0,0,0,0,0,0
1950-12,7,0,3,0,0,0,0,0
