OBJECTNUMMER;Code;Locatie;Type_meetpunt;Type_meting;Meting_op_wettelijke_toetsafst;Afstand_tot_gevel_m;jaar_2020;jaar_2019;jaar_2018;jaar_2017;jaar_2016;jaar_2015;jaar_2014;jaar_2013;jaar_2012;jaar_2011;jaar_2010;LNG;LAT
18;GIBR67;Gibraltarstraat 67;Achtergrond;Palmes;;0;0;25;25;27,5;28,2;27,1;27,3;28,5;30,3;31,6;34,2;4,849605;52,384093
19;JVG255;Jan van Galenstraat 255;Straat;Palmes;Nee;7,3;0;44,1;45,6;52,1;48,1;46,7;48,4;49,4;51,6;49,9;52;4,850905;52,372993
20;TOR68;Torresstraat 68;Achtergrond;Palmes;;0;0;22,9;21,6;25,3;25,3;24,8;26,2;27,9;29,6;30;28,3;4,851405;52,371893
21;ZEIL34;Zeilstraat 34;Straat;Palmes;Ja;0;0;29;32,7;37,1;35,9;32,7;37,9;39,5;39,9;40,7;46,7;4,854505;52,350993
22;HS6;Havenstraat 6;Achtergrond;Palmes;;0;0;23,9;24,5;27,8;26,6;25,7;27,1;28,4;29,1;28,3;31,7;4,855705;52,349293
23;OVT557;Overtoom 557;Straat;Palmes;Nee;13;0;32,9;37,1;40,4;41;40,5;43,8;46,1;46,2;46,8;48,6;4,855805;52,357993
24;PVDD67;Pieter v/d Doesstraat 67;Achtergrond;Palmes;;0;0;25,2;26,4;30,1;29,2;27,7;27,9;27,8;30,8;30,4;31;4,856605;52,373793
25;JVG151;Jan van Galenstraat 155;Straat;Palmes;Nee;4,9;0;35,2;39,4;41,3;41,3;37,3;41,4;40,1;43,3;41,8;0;4,856805;52,373993
26;AVW390;Amstelveenseweg 390;Straat;Palmes;Nee;13;0;38,2;40,2;50,4;49,6;46,8;47,5;47,1;50,7;50,6;50;4,857505;52,341993
27;AVW761;Amstelveenseweg 765;Straat;Palmes;Nee;13;0;35,8;37,8;46,3;46,6;39,7;41,4;45;43,4;46,5;49,6;4,857605;52,327993
28;AVW211;Amstelveenseweg 211;Straat;Palmes;Nee;6;0;27,6;28,9;32,5;37,5;35,6;38,2;38,3;39,8;38,7;42,4;4,857905;52,347993
29;TPBV;vd Boechortstraat 1 (Tennispark);Achtergrond;Palmes;;0;0;21,3;22,3;24,6;26,1;24,5;26,1;27,9;29,4;27,1;31;4,861705;52,329093
30;DECL110;de Clercqstraat 110;Straat;Palmes;Nee;3,9;0;33,3;30,3;38,1;40,7;36,9;38,7;39;40,3;40,7;43,2;4,866405;52,369993
31;VBP166;van Beuningenplein 148;Achtergrond;Palmes;;0;0;22,2;22,6;24,6;24,7;22,8;26,1;25,9;28,7;29,9;29,4;4,869705;52,380793
32;OVT167;Overtoom 167;Straat;Palmes;Nee;13;0;32,7;35,2;39,2;41,5;39,7;41,6;42,4;44,7;46,6;46,6;4,871505;52,361993
33;ALP17;Alard Piersonstraat 17;Achtergrond;Palmes;;0;0;24,1;25,3;28,1;27;31,1;27,2;28,8;30,4;0;0;4,872605;52,370293
34;BAN8;Banstraat 8;Achtergrond;Palmes;;0;0;21,9;23,3;25,4;25,9;24,9;26,6;26,4;29,3;28,2;29,8;4,873505;52,355693
35;HLW119;Haarlemmerweg 119;Straat;Palmes;Ja;0;0;30,5;34,2;38,2;38,9;0;0;0;0;0;0;4,873805;52,385293
36;1HDG17;1e Hugo de Grootstraat 17;Achtergrond;Palmes;;0;0;24,7;26,4;28,1;28;26,1;26,2;27,4;30,6;28,3;30,3;4,874205;52,375993
37;NK168;Nassaukade 168;Straat;Palmes;Ja;0;0;35,6;36,5;41,3;39,5;37,4;37,8;37,1;40,7;43,5;43,5;4,874505;52,370993
38;HEM187;Hembrugstraat 187;Achtergrond;Palmes;;0;0;23;24,2;26,7;25,6;25,4;25,8;26;28;28,9;0;4,874505;52,391093
39;HDG7;2e Hugo de Grootstraat 7;Straat;Palmes;Ja;0;0;40,2;45,5;47,1;47,3;44,3;45;44,3;47,7;43,7;40,8;4,874605;52,373993
40;OVT89;Overtoom 89;Straat;Palmes;Nee;2,4;0;40,4;47,1;51,9;53,5;50;54,3;56;55;55,7;54,5;4,875205;52,362993
41;HLW77;Haarlemmerweg 77 (gevel);Straat;Palmes;Ja;0;0;35,4;40,2;46,2;0;43,3;46,4;43,6;49,1;0;0;4,875805;52,384993
42;CON;Constantijn Huijgenstraat hoek Vondelstr;Straat;Palmes;Ja;0;0;32,3;33,7;37,2;36,3;0;0;0;0;0;0;4,876205;52,361693
43;OVT64;Overtoom 64;Straat;Palmes;Ja;0;0;35;38,1;42,8;43,9;0;0;0;0;0;0;4,876205;52,363093
44;HDP104;van Hogendorpplein 104;Achtergrond;Palmes;;0;0;23,4;23,9;26;27,2;25,1;27,5;26,3;31,5;28,9;31,2;4,876805;52,384593
45;WPW35;Willemsparkweg 35;Straat;Palmes;Ja;0;0;29,4;30,3;36,5;35,5;32,4;32,8;34,2;35,1;33,6;34,9;4,876905;52,357993
46;NK370;Nassaukade 370;Straat;Palmes;Ja;0;0;32,4;35;45,1;42,5;0;0;0;0;0;0;4,878405;52,365393
